#Parameters = {ls=80; ws=30; h=1.6; wl=2; i=0.8; l1=15.30612244898; e=0.035; l2=14.75}
#"Frequency / GHz"	"S1,1 (l2=14.75) [Mag]"	"S1,1 (l2=14.75) [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#-------------------------------------------------------------------------------------------------------------------
0.0000000000000	0.99631470441818	-0.0000000000000	50.000000000000	0.0000000000000
0.0040000001899898	0.99631890257863	-0.082750407030405	50.000000000000	0.0000000000000
0.0080000003799796	0.99633161811814	-0.16553660577313	50.000000000000	0.0000000000000
0.012000000104308	0.99635297577840	-0.24839415035500	50.000000000000	0.0000000000000
0.016000000759959	0.99638238870691	-0.33135846411101	50.000000000000	0.0000000000000
0.019999999552965	0.99642004850318	-0.41446426641613	50.000000000000	0.0000000000000
0.024000000208616	0.99646585226753	-0.49774566839803	50.000000000000	0.0000000000000
0.028000000864267	0.99651940251706	-0.58123611999489	50.000000000000	0.0000000000000
0.032000001519918	0.99658042426230	-0.66496793245790	50.000000000000	0.0000000000000
0.035999998450279	0.99664870533311	-0.74897251193147	50.000000000000	0.0000000000000
0.039999999105930	0.99672403654362	-0.83327982004714	50.000000000000	0.0000000000000
0.043999999761581	0.99680573466650	-0.91791849026744	50.000000000000	0.0000000000000
0.048000000417233	0.99689365567578	-1.0029158668036	50.000000000000	0.0000000000000
0.052000001072884	0.99698735987327	-1.0882974557019	50.000000000000	0.0000000000000
0.056000001728535	0.99708640964196	-1.1740867015846	50.000000000000	0.0000000000000
0.059999998658895	0.99719019073651	-1.2603060172492	50.000000000000	0.0000000000000
0.064000003039837	0.99729826917492	-1.3469750954708	50.000000000000	0.0000000000000
0.068000003695488	0.99741021260459	-1.4341121608419	50.000000000000	0.0000000000000
0.071999996900558	0.99752553004863	-1.5217329930785	50.000000000000	0.0000000000000
0.075999997556210	0.99764343322100	-1.6098512340383	50.000000000000	0.0000000000000
0.079999998211861	0.99776343264641	-1.6984786850265	50.000000000000	0.0000000000000
0.083999998867512	0.99788521768099	-1.7876243231243	50.000000000000	0.0000000000000
0.087999999523163	0.99800782181227	-1.8772952603031	50.000000000000	0.0000000000000
0.092000000178814	0.99813099366522	-1.9674962644465	50.000000000000	0.0000000000000
0.096000000834465	0.99825394383290	-2.0582289230711	50.000000000000	0.0000000000000
0.10000000149012	0.99837606191757	-2.1494945191911	50.000000000000	0.0000000000000
0.10400000214577	0.99849679400078	-2.2412893082882	50.000000000000	0.0000000000000
0.10800000280142	0.99861576467418	-2.3336093456490	50.000000000000	0.0000000000000
0.11200000345707	0.99873211908672	-2.4264481554396	50.000000000000	0.0000000000000
0.11599999666214	0.99884547646979	-2.5197960474291	50.000000000000	0.0000000000000
0.11999999731779	0.99895521529898	-2.6136419844092	50.000000000000	0.0000000000000
0.12399999797344	0.99906088984190	-2.7079725675515	50.000000000000	0.0000000000000
0.12800000607967	0.99916181231857	-2.8027722731120	50.000000000000	0.0000000000000
0.13199999928474	0.99925764991669	-2.8980241888379	50.000000000000	0.0000000000000
0.13600000739098	0.99934794621676	-2.9937089283024	50.000000000000	0.0000000000000
0.14000000059605	0.99943218111692	-3.0898053604344	50.000000000000	0.0000000000000
0.14399999380112	0.99951000962142	-3.1862909477326	50.000000000000	0.0000000000000
0.14800000190735	0.99958108242752	-3.2831416096134	50.000000000000	0.0000000000000
0.15199999511242	0.99964468777368	-3.3803320802849	50.000000000000	0.0000000000000
0.15600000321865	0.99970130283925	-3.4778351721912	50.000000000000	0.0000000000000
0.15999999642372	0.99974996753752	-3.5756228974567	50.000000000000	0.0000000000000
0.16400000452995	0.99979061374480	-3.6736671550681	50.000000000000	0.0000000000000
0.16799999773502	0.99982316622797	-3.7719366979967	50.000000000000	0.0000000000000
0.17200000584126	0.99984730829566	-3.8704014642354	50.000000000000	0.0000000000000
0.17599999904633	0.99986301813990	-3.9690314165854	50.000000000000	0.0000000000000
0.18000000715256	0.99987008762430	-4.0677938608170	50.000000000000	0.0000000000000
0.18400000035763	0.99986872337766	-4.1666565883138	50.000000000000	0.0000000000000
0.18799999356270	0.99985877135998	-4.2655888411227	50.000000000000	0.0000000000000
0.19200000166893	0.99984007140348	-4.3645582242464	50.000000000000	0.0000000000000
0.19599999487400	0.99981311757628	-4.4635328888954	50.000000000000	0.0000000000000
0.20000000298023	0.99977756456135	-4.5624820391674	50.000000000000	0.0000000000000
0.20399999618530	0.99973395913155	-4.6613742515716	50.000000000000	0.0000000000000
0.20800000429153	0.99968213008555	-4.7601804290326	50.000000000000	0.0000000000000
0.21199999749660	0.99962267906795	-4.8588707482470	50.000000000000	0.0000000000000
0.21600000560284	0.99955566826850	-4.9574169411313	50.000000000000	0.0000000000000
0.21999999880791	0.99948163593645	-5.0557912686401	50.000000000000	0.0000000000000
0.22400000691414	0.99940058126790	-5.1539676740205	50.000000000000	0.0000000000000
0.22800000011921	0.99931292664086	-5.2519246979334	50.000000000000	0.0000000000000
0.23199999332428	0.99921938225918	-5.3496352743867	50.000000000000	0.0000000000000
0.23600000143051	0.99912018742536	-5.4470788860211	50.000000000000	0.0000000000000
0.23999999463558	0.99901576270134	-5.5442373123961	50.000000000000	0.0000000000000
0.24400000274181	0.99890664656246	-5.6410923266596	50.000000000000	0.0000000000000
0.24799999594688	0.99879331974314	-5.7376279396564	50.000000000000	0.0000000000000
0.25200000405312	0.99867656364775	-5.8338296196329	50.000000000000	0.0000000000000
0.25600001215935	0.99855656591921	-5.9296864725377	50.000000000000	0.0000000000000
