ID;i;l1;l2;ls;ws
1;0.72;0.5;17;80;30
2;0.792;0.5;17;80;30
3;0.8;0.5;17;80;30
4;0.808;0.5;17;80;30
5;0.88;0.5;17;80;30
6;0.8;0.45;17;80;30
7;0.8;0.495;17;80;30
8;0.8;0.505;17;80;30
9;0.8;0.55;17;80;30
10;0.8;0.5;15.3;80;30
11;0.8;0.5;16.83;80;30
12;0.8;0.5;17.17;80;30
13;0.8;0.5;18.7;80;30
14;0.8;0.5;17;72;30
15;0.8;0.5;17;79.2;30
16;0.8;0.5;17;80.8;30
17;0.8;0.5;17;88;30
18;0.8;0.5;17;80;27
19;0.8;0.5;17;80;29.7
20;0.8;0.5;17;80;30.3
21;0.8;0.5;17;80;33
